url,length_url,length_hostname,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,https_token,ratio_digits_url,ratio_digits_host,punycode,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,length_words_raw,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,label
https://www.google.com/search?q=lipisepu,40,14,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.0,0.0,1,0,1,0,3,1,0,0,0,32,1,3,0,8,6,6,4.571428571428571,7.0,7.0,0,0,0,0,0,Legitimate
https://www.govmint.com/bot-detected?url=Lz8=&uuid=4426c00c-509c-11ee-...,73,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.1643835616438356,0.0,1,0,1,0,3,1,0,0,0,55,3,3,0,8,7,12,4.583333333333333,7.5,13.0,0,0,0,0,0,Legitimate
https://phishtank.org/add_web_phish.php,39,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1,0,0,0,2,0,0,0,1,33,3,3,0,13,9,17,6.6,13.0,18.0,0,0,0,0,0,Legitimate
https://eckbergdesigns.com/wp-includes/Requests/Auth/Accounts/index.ph...,73,18,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0.0,0.0,1,0,1,0,2,1,0,0,0,59,2,3,0,14,14,11,5.9,18.0,9.4,0,0,0,0,0,Phishy
http://107636.eu1.cleverreach.com//c/38739754/ccf404974d95b6-r6pszd...,70,26,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0.35714285714285715,0.2692307692307692,1,0,1,0,4,1,0,0,0,56,1,3,0,14,11,24,6.222222222222222,8.666666666666666,9.25,0,0,0,0,0,Legitimate
http://fssquad.com/threads/latest-onlyfans-5tb-2021-update-google-driv...,73,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0.0684931506849315,0.0,1,0,1,0,2,1,0,0,0,58,3,3,0,8,7,46,5.2727272727272725,11.0,27.5,0,0,0,0,0,Legitimate
https://www.priceflow.it/,25,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0.0,1,0,0,0,3,1,0,0,0,19,2,2,0,9,9,0,4.75,8.0,1.0,0,0,0,0,0,Legitimate
https://kkchz.icu/?plup8hbe,27,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.037037037037037035,0.0,1,0,0,0,2,0,0,0,0,21,3,3,0,8,5,0,5.25,9.0,1.0,0,0,0,0,0,Phishy
https://booking.hotel86376.com/sign-in?op_token=EgVvYXV0aCJHChQ2Wjcyb0...,73,22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.1095890410958904,0.22727272727272727,1,0,1,0,3,1,0,0,0,61,2,3,0,22,10,7,7.625,11.0,8.0,0,0,0,0,0,Phishy
https://flow.page/shared1-2-2,29,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.10344827586206896,0.0,1,0,0,0,2,0,0,0,0,22,1,4,0,7,4,11,3.6666666666666665,9.0,12.0,0,0,0,0,0,Phishy
